timestamp,pipeline_name,accuracy,f1,auc,precision,recall,anomaly_f1
2025-12-25T15:33:54.196441,titanic_survival,0.8100558659217877,0.7166666666666667,,,,
2025-12-25T15:34:29.560585,fraud_anomaly_detection,,,0.9543364475784686,0.10517799352750809,0.6632653061224489,0.18156424581005587
2025-12-26T03:46:36.777704,titanic_survival,0.8100558659217877,0.7166666666666667,,,,
2025-12-26T03:46:47.517301,fraud_anomaly_detection,,,0.9543364475784686,0.10517799352750809,0.6632653061224489,0.18156424581005587
2025-12-26T13:32:51.877070,titanic_survival,0.8100558659217877,0.7166666666666667,,,,
2025-12-26T13:33:07.764247,fraud_anomaly_detection,,,0.9543364475784686,0.10517799352750809,0.6632653061224489,0.18156424581005587
2025-12-26T13:33:45.312923,titanic_survival,0.8100558659217877,0.7166666666666667,,,,
2025-12-26T13:33:54.379491,fraud_anomaly_detection,,,0.9543364475784686,0.10517799352750809,0.6632653061224489,0.18156424581005587
2025-12-26T14:07:54.040195,fraud_anomaly_detection,,,0.9543364475784686,0.10517799352750809,0.6632653061224489,0.18156424581005587
2025-12-26T14:08:10.242372,fraud_anomaly_detection,,,0.9543364475784686,0.10517799352750809,0.6632653061224489,0.18156424581005587
2025-12-27T07:04:06.093986,classification_gui_run,0.8100558659217877,0.7166666666666667,,,,
2025-12-27T07:04:28.734438,classification_gui_run,0.8100558659217877,0.7166666666666667,,,,
2025-12-27T07:05:10.760876,anomaly_gui_run,,,0.9543364475784686,0.10517799352750809,0.6632653061224489,0.18156424581005587
2025-12-27T10:53:14.472089,anomaly_gui_run,,,0.9543364475784686,0.10517799352750809,0.6632653061224489,0.18156424581005587
2025-12-27T10:53:50.569670,classification_gui_run,0.9995962220427653,0.8743169398907104,,,,
2025-12-27T10:54:12.995247,anomaly_gui_run,,,0.9543364475784686,0.10517799352750809,0.6632653061224489,0.18156424581005587
